precinto	municipio	representativo	senatorial
1	San Juan	1	1
2	San Juan	2	1
3	San Juan	3	1
4	San Juan	4	1
5	San Juan	5	1
6	Guaynabo	5	1
7	Guaynabo	6	2
8	Cataño	6	2
9	Bayamón	6	2
10	Bayamón	7	2
11	Bayamón	8	2
12	Bayamón	9	2
13	Toa Alta	9	2
14	Toa Baja	10	2
15	Dorado	11	3
16	Vega Alta	11	3
17	Vega Alta	12	3
18	Vega Baja	11	3
19	Vega Baja	12	3
20	Morovis	12	3
21	Manatí	12	3
22	Manatí	13	3
23	Ciales	13	3
24	Florida	13	3
25	Barceloneta	13	3
26	Arecibo	13	3
27	Arecibo	14	3
28	Hatillo	14	3
29	Hatillo	15	3
30	Camuy	15	3
31	Quebradillas	15	3
32	Isabela	16	4
33	San Sebastián	16	4
34	Las Marías	16	4
35	Aguadilla	17	4
36	Moca	17	4
37	Moca	18	4
38	Aguada	18	4
39	Rincón	18	4
40	Añasco	18	4
41	Mayagüez	18	4
42	Mayagüez	19	4
43	San Germán	19	4
44	San Germán	20	4
45	Hormigueros	20	4
46	Cabo Rojo	20	4
47	Lajas	21	5
48	Guánica	21	5
49	Sabana Grande	21	5
50	Maricao	21	5
51	Yauco	21	5
52	Yauco	23	5
53	Lares	22	5
54	Utuado	22	5
55	Adjuntas	22	5
56	Jayuya	22	5
57	Jayuya	25	5
58	Guayanilla	23	5
59	Peñuelas	23	5
60	Ponce	23	5
61	Ponce	24	5
62	Ponce	25	5
63	Juana Díaz	25	5
64	Juana Díaz	27	6
65	Villalba	26	6
66	Orocovis	26	6
67	Santa Isabel	27	6
68	Coamo	26	6
69	Aibonito	27	6
70	Barranquitas	26	6
71	Barranquitas	28	6
72	Corozal	28	6
73	Naranjito	28	6
74	Comerío	28	6
75	Coamo	27	6
76	Cidra	29	6
77	Cayey	29	6
78	Salinas	30	6
79	Guayama	30	6
80	Arroyo	30	6
81	Aguas Buenas	5	1
82	Caguas	31	7
83	Caguas	32	7
84	Gurabo	31	7
85	Salinas	27	7
86	San Lorenzo	33	7
87	San Lorenzo	34	7
88	Juncos	33	7
89	Las Piedras	33	7
90	Las Piedras	35	7
91	Patillas	34	7
92	Maunabo	34	7
93	Yabucoa	34	7
94	Humacao	35	7
95	Naguabo	35	7
96	Vieques	36	8
97	Culebra	36	8
98	Ceiba	36	8
99	Fajardo	36	8
100	Luquillo	36	8
101	Río Grande	36	8
102	Río Grande	37	8
103	Loíza	37	8
104	Canóvanas	37	8
105	Canóvanas	38	8
106	Carolina	38	8
107	Carolina	39	8
108	Carolina	40	8
109	Trujillo Alto	38	8
110	Trujillo Alto	39	8
